twi_query,cleaned_query,intent,twi_response,english_translation,source
"Mema wo akye chatbot, ete sen wo nim?",mema wo akye chatbot ete sen wo nim,general_greeting,"Mema wo akye paa! Me ho yɛ, akwaaba. Dɛn nsɛm na wopɛ sɛ mekyerɛ wo fa cholera ho nnɛ?","Good morning chatbot, how is it? Good morning indeed! I am fine, welcome. What information do you want me to show you about cholera today?",Ghana NLP
"Sɛ me pɛ sɛ me dware wɔ asubɔnten a, ɛyɛ safe wɔ cholera berɛ mu ampa?",sɛ me pɛ sɛ me dware wɔ asubɔnten a ɛyɛ safe wɔ cholera berɛ mu ampa,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
"Nsuo a yɛnua mu na yɛde nom, ɛtua aseɛ?",nsuo a yɛnua mu na yɛde nom ɛtua aseɛ,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Mema wo adwo chatbot pa!,mema wo adwo chatbot pa,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,Ghana NLP
"Se me ko adidi ababi a, den na metumi aye na cholera annya me?",se me ko adidi ababi a den na metumi aye na cholera annya me,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Den na metumi aye na cholera annya me wo adidi baabi anaa enye saa?,den na metumi aye na cholera annya me wo adidi baabi anaa enye saa,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Mede den ahohoro me nsa pa wo kwan ho?,mede den ahohoro me nsa pa wo kwan ho,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
"Mede akwantu beko mmeae a cholera reba, den na ese se meye anas?",mede akwantu beko mmeae a cholera reba den na ese se meye anas,travel_query,"Ansa na wokɔ, sua faako a cholera reba no ho asɛm, fa chlorine tablets anaa aduro a ɛboa, na hyɛ wo ho da sɛ wobɛnom nsuo pa nko ara wɔ hɔ.","Before traveling, learn about the current outbreak situation, carry chlorine tablets or similar supplies, and commit to drinking only safe water while there.",WHO Ghana
Medaase ma saa adwuma pa yi,medaase ma saa adwuma pa yi,general_greeting,Mema wo akye! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Hello! I am the Cholera Twi Chatbot. I can answer your questions about cholera.,Ghana NLP
Mɛde fie nsuo anaa scahet water yɛ ORS wo nim?,mɛde fie nsuo anaa scahet water yɛ ors wo nim,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
Community health volunteers di dwuma bɛn wɔ cholera ano siw mu?,community health volunteers di dwuma bɛn wɔ cholera ano siw mu,community_prevention_query,"Wɔkyerɛkyerɛ mpɔtam hɔfoɔ fa cholera ho amanneɛ, wɔhwehwɛ nnipa a wɔyare, na wɔboa ma nkrataa ne nsɛm trɛw wɔ mpɔtam hɔ ntɛm.","Community health volunteers educate residents about cholera, identify symptomatic individuals, and help spread accurate information quickly within the community.",WHO Ghana
"Cholera mu yɛ den na me ba no rentumi nkasa, dɛn ne emergency actoin ɛnte saa?",cholera mu yɛ den na me ba no rentumi nkasa dɛn ne emergency actoin ɛnte saa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
Dɛn na metumi de akyekyere me nsuo mu?,dɛn na metumi de akyekyere me nsuo mu,prevention_query,Wobetumi anua wo nsuo no ma ɛrehuru yie anaa wobɛde 'Aquatabs' anaa aduru a ɛho tew nsuo afra mu ansa na wanom.,What can I use to treat my water? You can boil your water until it bubbles or use Aquatabs or water purification tablets before drinking.,Ghana Ministry of Health
Ewo se me telpehone ambulance bere ben?,ewo se me telpehone ambulance bere ben,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
"Woato mmetegwee na orentumi nsore, he na yenko paa?",woato mmetegwee na orentumi nsore he na yenko paa,emergency_query,Kɔ ayaresabea a ɛbɛn wo ntɛm ara! Ɛyɛ emergency kɛse. Dɔkota bɛma no nsuo wɔ n'ntin (IV fluids) ampon n'nkwa.,Go to the nearest hospital immediately! It is a severe emergency. The doctor will give IV fluids to save their life.,WHO
"Aduane a obi de nsa kɔmaa me a obi no wɔ cholera, ɛyɛ asiane?",aduane a obi de nsa kɔmaa me a obi no wɔ cholera ɛyɛ asiane,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
"Maakye o, chatbto ɛnte saa?",maakye o chatbto ɛnte saa,general_greeting,Maakye! Mewɔ ha sɛ mebua wo nsɛmmisa biara a ɛfa cholera yareɛ ho. Dɛn na wopɛ sɛ wuhu?,"Good morning, chatbot! I am here to answer any questions regarding cholera. What would you like to know?",Ghana NLP
Government clinics wo ORS aduru pii ampa?,government clinics wo ors aduru pii ampa,treatment_query,"Aane, Ghana Health Service abɔ mbɔden de ORS nnuru pii agu government clinics ahorow mu sɛnea yarefoɔ bɛnya ayaresa kwa.","Do government clinics have plenty of ORS medicine? Yes, the Ghana Health Service has made efforts to place plenty of ORS medicines in various government clinics so patients receive free treatment.",Ghana Health Service
Ebetumi aye cholera na ayamtuo no nni nsuo mu?,ebetumi aye cholera na ayamtuo no nni nsuo mu,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
Cholera yareɛ tumi ma me ntiti me ɛnte saa?,cholera yareɛ tumi ma me ntiti me ɛnte saa,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
"Me maame anya cholera na ɔrefe wɔ fie, dɛn na mɛyɛ ntɛm ara paa?",me maame anya cholera na ɔrefe wɔ fie dɛn na mɛyɛ ntɛm ara paa,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
Sɛn na mɛbɔ me ho ban afiri cohlera ho ampa?,sɛn na mɛbɔ me ho ban afiri cohlera ho ampa,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
dAuru bɛn na Ghana Health Service de sa cholera?,dauru bɛn na ghana health service de sa cholera,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Clinic de ORS ama kwa anaa yɛtɔ anaa?,clinic de ors ama kwa anaa yɛtɔ anaa,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
"M'anofafa awo na mreefe, ɛyɛ cholera anaa?",manofafa awo na mreefe ɛyɛ cholera anaa,symptoms_query,"Eyi betumi ayɛ cholera nsenkyerɛne, efisɛ anofafa a awo kyerɛ sɛ wo ho nsuo reasa afiri ayamtuo ne afeɛ no mu. Ma yarefoɔ no ORS ntɛm.","This can be a symptom of cholera, as a dry mouth indicates dehydration from diarrhea and vomiting. Give the patient ORS immediately.",WHO Ghana
Bo me amannee fa yaree yi ho ampa?,bo me amannee fa yaree yi ho ampa,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,WHO Ghana
Cholera betumi afiri ɔman bi akɔ ɔman foforɔ?,cholera betumi afiri ɔman bi akɔ ɔman foforɔ,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Efi a ɛgu mmeae pii betumi ama yareɛ no atrɛ anaa ɛnyɛ saa?,efi a ɛgu mmeae pii betumi ama yareɛ no atrɛ anaa ɛnyɛ saa,transmission_query,"Aane paa, sɛ fĩ gu mmeae pii a mfifiseɛ betumi de afiri hɔ abɛgu yɛn nnuane ne nsuo mu na ama cholera atrɛ ntɛm.","Can filth in many places cause the disease to spread? Yes indeed, if filth is scattered, flies can carry it from there into our food and water and cause cholera to spread fast.",Ghana Ministry of Health
"M'anofafa awo na merefe, eye cholera?",manofafa awo na merefe eye cholera,symptoms_query,"Eyi betumi ayɛ cholera nsenkyerɛne, efisɛ anofafa a awo kyerɛ sɛ wo ho nsuo reasa afiri ayamtuo ne afeɛ no mu. Ma yarefoɔ no ORS ntɛm.","This can be a symptom of cholera, as a dry mouth indicates dehydration from diarrhea and vomiting. Give the patient ORS immediately.",WHO Ghana
"Obi a ɔwɔ choelra nso wɔ gya ho a, ɔde maa afoforɔ?",obi a ɔwɔ choelra nso wɔ gya ho a ɔde maa afoforɔ,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Kyerɛ me nsɛm fa cholera ho,kyerɛ me nsɛm fa cholera ho,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,WHO Ghana
"Ayamtuo a ete se nsuben, eye cholera nsenkyerene anaa?",ayamtuo a ete se nsuben eye cholera nsenkyerene anaa,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
"Sɛ obi nya cholera na awgye ayaresa a, sɛn na ɔbɛyɛ akwakwa ampa?",sɛ obi nya cholera na awgye ayaresa a sɛn na ɔbɛyɛ akwakwa ampa,recovery_query,"Sɛ wɔsa cholera ntɛm nam ORS anaa IV fluids so a, nnipa dodoɔ no ara yɛ akwakwa nna kakraa bi mu. Ɛsɛ sɛ wɔda hɔ, di aduane a ɛyɛ mmerɛw, na wɔkɔ ayaresabea bio sɛ wɔka wɔn sɛ wɔnkɔ.","With prompt ORS or IV fluid treatment, most people recover fully within a few days. Rest, eat light foods, and attend any follow-up appointments advised by health workers.",WHO Ghana
"Me ba no ho aye mmere kese na orentee, den na meye ente saa?",me ba no ho aye mmere kese na orentee den na meye ente saa,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
Mɛde dɛn bɔ me adidi baabi ho ban?,mɛde dɛn bɔ me adidi baabi ho ban,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Medaase ma mmoaeɛ pa yi,medaase ma mmoaeɛ pa yi,general_greeting,Meda wo ase nso! Hwɛ wo ho so yie na horo wo nsa ne samina bere biara. Tena ase asomdwoe mu.,Thank you for this good help. Thank you too! Take good care of yourself and wash your hands with soap every time. Stay safe.,Ghana NLP
"Chatbot, wo tumi boa Ghanafoo wo cholera ho!",chatbot wo tumi boa ghanafoo wo cholera ho,general_greeting,Mema wo akye! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Hello! I am the Cholera Twi Chatbot. I can answer your questions about cholera.,Ghana NLP
hColera tumi ma obi ho wo fe se obi a ote ase?,hcolera tumi ma obi ho wo fe se obi a ote ase,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
"Oyafunufoo a owo cholera, den na ese se woye ma no?",oyafunufoo a owo cholera den na ese se woye ma no,pregnancy_query,"Fa ɔyafunufoɔ no kɔ ayaresabea ntɛm sɛ ɔwɔ cholera nsɛnkyerɛnee, efisɛ ne ho nsuo a ɛsa no tumi ka ɔne abɔfra a ɔda ne yam mu no nyinaa; ORS ne ayaresa ntɛm boa.","A pregnant woman showing cholera symptoms should be taken to a health facility immediately, since dehydration can affect both her and the unborn baby; prompt ORS and medical care are important.",WHO Ghana
"Me ho titi titi firi hcolera nsenkyerɛne ho, dɛn mɛyɛ?",me ho titi titi firi hcolera nsenkyerɛne ho dɛn mɛyɛ,symptoms_query,Ayamtuo ne afeɛ kɛseɛ a ɛnto mpa na ɛkyerɛ sɛ obi betumi anya cholera yareɛ no. Wo ho nsuo bɛtumi asa ntɛm ara.,"Severe watery diarrhea and uncontrollable vomiting are signs of cholera, which can cause rapid dehydration.",CDC Ghana
"Kyei chtabot pa, ete sɛn?",kyei chtabot pa ete sɛn,general_greeting,"Ɛyɛ, akwaaba! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm biara wɔ Twi mu.","Hey good chatbot, how is it? It is well, welcome! I am the Cholera Twi Chatbot. I can answer any cholera questions in Twi.",Ghana NLP
ORS paket no ye aduru a yteon no mma?,ors paket no ye aduru a yteon no mma,treatment_query,"Aane, yɛtɔn no wɔ aduruyɛdan (pharmacy) biara, na Ghana Health Service nso de ma kwa wɔ government clinics pii mu.","The ORS packet, is it a medicine that is sold? Yes, it is sold at any pharmacy, and the Ghana Health Service also distributes it for free at many government clinics.",Ghana Health Service
Yɛ ne yɛn nnɛ chatbot!,yɛ ne yɛn nnɛ chatbot,general_greeting,Mema wo akye! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Hello! I am the Cholera Twi Chatbot. I can answer your questions about cholera.,Ghana NLP
Mewo he na metumi anya ORS aduru no?,mewo he na metumi anya ors aduru no,treatment_query,"Wobetumi anya ORS wɔ aduruyɛdan (pharmacy) biara, or woankasa betumi ayɛ bi wɔ fie de nsuo, asikre, ne nkyene.","Where can I get the ORS medicine? You can get ORS at any pharmacy, or you can make it yourself at home using water, sugar, and salt.",Ghana Health Service
Ɛwɔ sɛ me dwrae mprempren wɔ cholera berɛ mu anaa ɛnyɛ saa?,ɛwɔ sɛ me dwrae mprempren wɔ cholera berɛ mu anaa ɛnyɛ saa,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
"Se obi anya cholera mu den na otumi nko clinic ankasa a, den meye?",se obi anya cholera mu den na otumi nko clinic ankasa a den meye,emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
"Me fiefoɔ pɛ sɛ wɔnom nsuo firi abtuuo mu, ɔkwan bɛn so na yɛbɛyɛ no safe?",me fiefoɔ pɛ sɛ wɔnom nsuo firi abtuuo mu ɔkwan bɛn so na yɛbɛyɛ no safe,prevention_query,"Noa nsuo no ma ɛrehuru yie ansa na moanom, anaa monsɔn mu na momfa aduru a ɛkyekyere nsuo mu afra mu.","My family wants to drink water from a well, how can we make it safe? Boil the water until it bubbles before you drink, or filter it and mix it with water purification tablets.",CDC Ghana
Obi bin bɛtumi ama hcolera akɔ nsuo mu wo nim?,obi bin bɛtumi ama hcolera akɔ nsuo mu wo nim,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
"Me ho ye mmere na me ti pae me, eye cholera ɛnte saa?",me ho ye mmere na me ti pae me eye cholera ɛnte saa,symptoms_query,"Mmerɛyɛ betumi ayɛ cholera nsenkyerɛne ɛfiri nsuo a ɛreasa nti, nanso tipae ntaa nni cholera ho. Hwɛ sɛ wo bɛnya ayamtuo nsuo anaa.","I feel weak and my head aches, is it cholera? Weakness can be a cholera symptom due to fluid loss, but headache is not typically associated with cholera. Watch if you get watery diarrhea.",CDC
"Sɛ me kɔ adidi baabi a, dɛn na metumi ayɛ na chloera annya me?",sɛ me kɔ adidi baabi a dɛn na metumi ayɛ na chloera annya me,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Mede den ahohoro me nsa ansa na medidi?,mede den ahohoro me nsa ansa na medidi,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
"Se cholera yarefoo no rentumi nksaa bio a, eye den?",se cholera yarefoo no rentumi nksaa bio a eye den,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
"Se me anom awo na merefe a, ekeyre sen?",se me anom awo na merefe a ekeyre sen,symptoms_query,Cholera yareɛ no ho nsenkyerɛne titiriw ne ayamtuo kɛseɛ a ɛte sɛ nsuo (a ɛte sɛ nsubɛn) ne ɛfeɛ a ɛnto mpa. Eyi betumi ama wo ho nsuo asa ntɛm (dehydration).,The main symptoms of cholera are severe watery diarrhea (like rice-water) and frequent vomiting. This can cause rapid dehydration.,WHO Ghana Health Service
"Se me pe se me dware wo asubonten a, eye safe wo cholera bere mu anaa?",se me pe se me dware wo asubonten a eye safe wo cholera bere mu anaa,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
"Kyei chatbot, okwan ben so na metumi abisa nsem ente saa?",kyei chatbot okwan ben so na metumi abisa nsem ente saa,general_greeting,"Akwaaba! Kyere biribiara a wopɛ sɛ wuhu fa cholera nsenkyerɛne, banbɔ anaa ayaresa ho na mɛbua wo.","Hey chatbot, how can I ask questions? Welcome! Type anything you want to know about cholera symptoms, prevention, or treatment and I will answer you.",Ghana NLP
Me ba se wobeboa me,me ba se wobeboa me,general_greeting,Mema wo akye! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Hello! I am the Cholera Twi Chatbot. I can answer your questions about cholera.,Ghana NLP
"Sɛ obi rentumi mma ORS anom wɔ cholera mu a, ɛyɛ emergnecy wo nim?",sɛ obi rentumi mma ors anom wɔ cholera mu a ɛyɛ emergnecy wo nim,emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",WHO Ghana
Bo me amannee ben fa cholrea ho?,bo me amannee ben fa cholrea ho,general_greeting,Akwaaba! Metumi aboa wo wɔ cholera yareɛ ho nsɛm biara. Bisa biribi!,Welcome! I can help you with any questions about cholera. Ask anything!,WHO Ghana
Yenya cholera a den nsenkyerene na eda adi?,yenya cholera a den nsenkyerene na eda adi,symptoms_query,"Nsenkyerɛne titiriw ne ayamtuo pii, afeɛ bebree, nipadua no mu mmerɛyɛ, ne nsuo a ɛsa wo ho ntɛm ara.","The key symptoms are severe diarrhea, frequent vomiting, body weakness, and rapid loss of fluids (dehydration).",CDC
Sɛn ntam na ɛsɛ sɛ yɛsesa nsuo a yɛakora no fie paa?,sɛn ntam na ɛsɛ sɛ yɛsesa nsuo a yɛakora no fie paa,water_treatment_methods_query,"Kora nsuo a woasiesie no wɔ ade a ɛwɔ mmuaso (covered container) mu, na sesa mu foforo bere biara sɛ ɛbɛboro nnanu anaa nnansa, sɛnea ɛrenka efi bio.",Store treated water in a covered container and replace it every two to three days to prevent recontamination.,Ghana Ministry of Health
Ehefa na me nya nsuo pa a cholera mmoawa nnim wo nim?,ehefa na me nya nsuo pa a cholera mmoawa nnim wo nim,prevention_query,"Nsa sachet water pa, bottled water, anaa nsuo biara a woanoa mu yie na ɛyɛ asiane nnim.","Where can I get safe water without cholera bacteria? Treated sachet water, bottled water, or any water you have boiled thoroughly is safe and risk-free.",Ghana NLP
Den na yede sa cholera paa?,den na yede sa cholera paa,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Mo adwuma yi boa Ghanafoo paa ampa?,mo adwuma yi boa ghanafoo paa ampa,general_greeting,Meda wo ase! Ɛyɛ yɛn anigye sɛ yɛde Twi kasa bɛboa Ghanafoɔ nyinaa ma wɔanya apɔwmuden afiri cholera ho.,Your work helps Ghanaians a lot. Thank you! It is our joy to use the Twi language to help all Ghanaians gain good health away from cholera.,Ghana NLP
