twi_query,intent,twi_response,english_translation,source
Ɛfiri he na cholera mmoawa no firi ba?,transmission_query,"Cholera mmoawa no firi yarefoɔ bin mu. Sɛ nsuo anaa aduane anya efi yi a, ɛno na ɛde cholera ba.","The cholera bacteria originates from an infected person's feces, spreading through contaminated water or food.",Ghana Ministry of Health
Sɛn na mɛbɔ me ho ban afiri cholera ho?,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Dɛn na yɛbɛyɛ na yɛanya cholera?,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Mɛyɛ deɛn na me fiefoɔ anya cholera?,prevention_query,"Siesie wo mpɔtam hɔ yie, hohoro wo nsa mprepren, na mma obiara nnnom nsuo a yɛannua mu anaa yɛantam mu yie.","Keep your surroundings clean, wash hands frequently, and ensure everyone drinks boiled or treated water.",Ghana Ministry of Health
Sɛn na yɛde samina bɔ yɛn ho ban?,prevention_query,"Samina ne nsuo pa de hohoro nsa firii asuogya, ansa na yɛadi aduane anaa yɛayɛ aduane, ɛkum cholera mmoawa no.",Washing hands with soap and running water after the toilet and before preparing/eating food kills the cholera bacteria.,WHO
Nsuo pa a yɛbɛnom bɛma yɛanya cholera?,prevention_query,Nsuo pa a wɔanoa mu anaa pure water/bottled water pa siw cholera kwan paa. Nnom nsuo firi asubɔnten mu anaa abutuo mu.,"Drinking boiled water, bottled water, or treated sachet water prevents cholera. Avoid drinking directly from rivers or wells.",CDC
Nsa hohoro bɛtumi asiw cholera kwan?,prevention_query,"Aane, nsa hohoro ne samina gu nsuo pa mu siw cholera kwan bɛyɛ ɔha biara mu aduonum (50%).","Yes, washing hands with soap and running water is one of the most effective ways to prevent cholera transmission.",Ghana Ministry of Health
Dɛn na yɛde sa cholera?,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Sɛn na yɛyɛ ORS wo fie?,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
ORS nsuo yɛ sɛn?,treatment_query,ORS yɛ aduru nsuo a wɔaka nkyene ne asikre afra mu a ɛboa ma nipadua no nsuo a ayera no san ba.,ORS is a solution of balanced salts and glucose that helps restore lost bodily fluids and electrolytes.,Ghana Ministry of Health
Aduru bɛn na adɔkotafoɔ de sa cholera?,treatment_query,"Adɔkotafoɔ de ORS, ne nsuo wɔ ntin (IV fluids) ne antibiotic aduru na ɛsa cholera yareɛ no yie.","Doctors use ORS, IV fluids for severe cases, and antibiotics to treat cholera effectively.",WHO
Asikre ne nkyene nsuo yɛ ORS?,treatment_query,"Aane, sɛ wo nni ORS paket a, wo betumi ayɛ fie ORS nam asikre kɛse ne nkyene ketewa a wobɛfra nsuo pa baako lita mu.","Yes, if you don't have an ORS packet, you can make Home-made ORS by mixing sugar and salt in 1 liter of clean water.",CDC
Sɛn na yɛbɛyɛ na yɛayɛ ORS nsuo pa?,treatment_query,"Hohoro wo nsa, fa nsuo pa, nua wo nsuo no ansa na woadi dwuma na fra ORS aduru no mu yie.","Wash hands, use safe water (boiled or bottled), and thoroughly mix the ORS powder into the water.",Ghana Ministry of Health
"Me ba no ho ayɛ mmerɛ kɛse na ɔrentee, dɛn na mɛyɛ?",emergency_query,Ma no ORS nsuo na kɔ ayaresabea a ɛbɛn wo ntɛm ara! Eyi yɛ emergency paa!,Give him ORS and run to the nearest hospital immediately! This is a major emergency!,WHO Ghana
"Yarefoɔ no n'ani apɔn na ɔrente nsɛm yie, dɛn na mɛyɛ?",emergency_query,"EYI NE EMERGENCY! Ma no ORS nsuo sɛ obetumi anom, na fa no kɔ ayaresabea ntɛm ara na wɔakɔma no nsuo wɔ ne ntin (IV fluids).","THIS IS AN EMERGENCY! Give ORS if conscious, and take them to the hospital immediately for IV fluids.",CDC
"Ayamtuo no mu yɛ den dodo na ɔrefe bebree, ɛyɛ emergency?",emergency_query,"Aane, sɛ ayamtuo ne afeɛ no kɔ so kɛse na wonntumi nsiw kwan a, kɔ ayaresabea mprepren ara na w'ankɔwuo!","Yes, if diarrhea and vomiting are severe and cannot be stopped, go to the health facility immediately to save their life.",Ghana Ministry of Health
"Woatɔ mmetegwee na ɔrentumi nsɔre, he na yɛnkɔ?",emergency_query,Kɔ ayaresabea a ɛbɛn wo ntɛm ara! Ɛyɛ emergency kɛse. Dɔkota bɛma no nsuo wɔ n'ntin (IV fluids) ampon n'nkwa.,Go to the nearest hospital immediately! It is a severe emergency. The doctor will give IV fluids to save their life.,WHO
"The patient is unresponsive, what should I do?",emergency_query,Take the patient to the nearest hospital immediately! This is an extreme emergency. Give ORS along the way if possible.,Run to the hospital immediately! This is a critical emergency. Give ORS if they can swallow.,CDC Ghana
Ayaresabea bɛn na yɛnkɔ ntɛm ara sɛ cholera no dɔɔso?,emergency_query,Kɔ ayaresabea anaa dɔkota pa hɔ a ɛbɛn wo paa ntɛm ara! Ghana Health Service ayɛ mbɔden sɛ ayaresabea nyinaa wɔ ORS ne IV fluids.,Go to the nearest government clinic or hospital immediately! The Ghana Health Service has equipped facilities with ORS and IV.,Ghana Health Service
Mema wo akye,general_greeting,Mema wo akye! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Good morning! I am the Cholera Twi Chatbot. I can answer questions about cholera.,Ghana NLP
Mema wo aha,general_greeting,Mema wo aha! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Good afternoon! I am the Cholera Twi Chatbot. I can answer questions about cholera.,Ghana NLP
Mema wo adwo,general_greeting,Mema wo adwo! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm.,Good evening! I am the Cholera Twi Chatbot. I can answer questions about cholera.,Ghana NLP
"Yaa nua, ete sɛn?",general_greeting,Mema wo akwaaba! Me ne Cholera Twi Chatbot. Metumi abua wo cholera ho nsɛm wo Twi kasa mu.,Welcome! I am the Cholera Twi Chatbot. I can help answer questions about cholera in Twi.,Ghana NLP
"Kyei, ete sɛn?",general_greeting,"Ɛyɛ, akwaaba! Me ne Cholera Twi Chatbot. Bisa me cholera ho nsenkyerɛne, banbɔ anaa ano aduru.","It is well, welcome! I am the Cholera Twi Chatbot. Ask me about cholera symptoms, prevention, or treatment.",Ghana NLP
"Hello, owura!",general_greeting,"Hello, akwaaba! Me ne Cholera Twi Chatbot. Mebua wo cholera ho nsɛmmisa wo Twi mu.","Hello, welcome! I am the Cholera Twi Chatbot. I answer cholera questions in Twi.",Ghana NLP
"Sɛ me ho yɛ hye na merefe a, ɛyɛ cholera?",symptoms_query,"Ateetee ne ɛfeɛ betumi ayɛ cholera nsenkyerɛne, nanso cholera titiriw yɛ ayamtuo a ɛte sɛ nsubɛn a atiridii nnim kuse. Hwɛ yie na kɔ ayaresabea ntɛm.","If I have a fever and I'm vomiting, is it cholera? Vomiting can be a symptom, but classic cholera is severe watery diarrhea usually without high fever. Be careful and go to the clinic quickly.",Ghana Health Service
"Mahu sɛ me nsuo a mekɔ yɛ fitaa sɛ nsubɛn, ɛyɛ dɛn?",symptoms_query,Ayamtuo a ɛte sɛ nsubɛn (rice-water stools) yɛ cholera nsenkyerɛne kɛseɛ. Kɔ ayaresabea a ɛbɛn wo ntɛm ara!,"I noticed my stool is white like rice-water, what is it? Diarrhea that looks like rice-water is a major symptom of cholera. Go to the nearest hospital immediately!",WHO Ghana
Cholera tumi ma obi ho keka no anaa?,symptoms_query,"Dabi, ɛho keka ntaa mma, nanso ayamtuo ne ɛfeɛ no tumi ma wo mmati ne wo nan mu yɛ wo ya (muscle cramps) ɛfiri nsuo a ɛsa wɔ wo ho nti.","Does cholera cause body itching? No, itching is not common, but the diarrhea and vomiting can cause muscle cramps due to dehydration.",CDC Ghana
Kwan bɛn so na yɛbɛtumi asiw cholera kwan?,prevention_query,"Tumi siw cholera kwan sɛ wobɛnua wo nsuo ansa na wanom, wobɛhoro wo nsa ne nnuane ho yie, na woatena beae a ho tew.","How can we prevent cholera? Prevent cholera by boiling water before drinking, washing hands and food thoroughly, and maintaining good sanitation.",Ghana Ministry of Health
Ɛbɛtumi afiri nsuo mu aba?,transmission_query,"Aane, cholera ntaa mfa beae foforo biara nti sɛ nsuo anaa nnuane a efi (fi) wom a nkurɔfoɔ nom anaa wɔdi.","Can it come from water? Yes, cholera is mostly transmitted through contaminated water or food that people consume.",Ghana NLP
"Me ho nsuo asa a, dɛn na mɛyɛ wɔ fie?",treatment_query,"Sɛ wo ho nsuo reasa a, nyan ORS (nsuo, asikre, ne nkyene) nom ntɛm ara na kɔ ayaresabea ɛbɛn wo.","If I am dehydrated, what should I do at home? If you are dehydrated, mix and drink ORS (water, sugar, and salt) immediately and go to the nearest hospital.",WHO Ghana
Mewɔ he na metumi anya ORS aduru no?,treatment_query,"Wobetumi anya ORS wɔ aduruyɛdan (pharmacy) biara, or woankasa betumi ayɛ bi wɔ fie de nsuo, asikre, ne nkyene.","Where can I get the ORS medicine? You can get ORS at any pharmacy, or you can make it yourself at home using water, sugar, and salt.",Ghana Health Service
Adagya mu tena ho yɛ asiane ma cholera?,prevention_query,"Aane, sɛ nkurɔfoɔ gu fi gu mmeae a ɛnkɔ mmone mu a, ɛtumi sɛe nsuo a yɛnom na ɛde cholera ba. Hwɛ na fa tiafi yie.","Is open defecation a risk for cholera? Yes, when people defecate in the open, it can contaminate drinking water and cause cholera. Ensure you use proper toilets.",CDC Ghana
"Maakye o, chatbot!",general_greeting,Maakye! Mewɔ ha sɛ mebua wo nsɛmmisa biara a ɛfa cholera yareɛ ho. Dɛn na wopɛ sɛ wuhu?,"Good morning, chatbot! I am here to answer any questions regarding cholera. What would you like to know?",Ghana NLP
Me da wo ase pi,general_greeting,Meda wo ase nso! Tena ase asomdwoe mu na hwɛ wo ho so yie na cholera anya wo.,Thank you very much! Thank you too! Stay safe and take good care of yourself to avoid cholera.,Ghana NLP
Dɛn na metumi de akyekyere me nsuo mu?,prevention_query,Wobetumi anua wo nsuo no ma ɛrehuru yie anaa wobɛde 'Aquatabs' anaa aduru a ɛho tew nsuo afra mu ansa na wanom.,What can I use to treat my water? You can boil your water until it bubbles or use Aquatabs or water purification tablets before drinking.,Ghana Ministry of Health
Cholera nnyansoɔ yɛ dɛn?,transmission_query,"Bacteria a yɛfrɛ no 'Vibrio cholerae' na ɛde yareɛ no ba, titiriw fa nsuo anaa nnuane a efi wom.","What is the cause of cholera? The bacterium called Vibrio cholerae causes the disease, mostly through contaminated water or food.",WHO Ghana
"Sɛ me nsa rekyere me ɛfiri ayamtuo nti a, ɛwɔ sɛ meyɛ dɛn?",treatment_query,Nom ORS ntɛm ara na kɔ dɔkta hɔ. Saa nsa kyere (cramps) yi kyerɛ sɛ wo ho nsuo ne nkyene asa koraa.,"If my hands are cramping due to diarrhea, what should I do? Drink ORS immediately and see a doctor. These cramps mean you have lost a lot of water and salts.",CDC Ghana
Adidi mmeae bɔne betumi ama cholera?,transmission_query,"Aane, adidi mmeae a ɛho nni nniwoɔ na nsuo anaa nnuane ho nni kradoom no tumi de cholera ba ntɛm.","Can bad eating places cause cholera? Yes, eating places that lack hygiene and where food or water is not safely prepared can easily spread cholera.",Ghana Health Service
"Mahu sɛ me mma redidi a wɔnhohoro wɔn nsa, asiane bi wom?",prevention_query,"Asiane kɛse wom! Sɛ obi amfa samina ne nsuo anhohoro ne nsa ansa na ɔredidi a, cholera mmoawa betumi afiri ne nsa akɔ ne nuane mu.","I noticed my children eat without washing their hands, is there any danger? There is big danger! If someone doesn't wash their hands with soap before eating, cholera bacteria can move from hands into food.",Ghana Health Service
Ayamtuo paapaa yi bɛkum obi?,emergency_query,"Aane, cholera tumi kum obi nnɔnhwerew kakraa bi mu ɛfiri nsuo pii a ɛsa wɔ nipadua no mu. Eyi nti, ɛyɛ emergency a ɛwɔ sɛ yɛkɔ clinic ntɛm.","Can this frequent diarrhea kill someone? Yes, cholera can kill within a few hours due to severe fluid loss. Therefore, it is an emergency that requires going to the clinic quickly.",WHO Ghana
Abofra ketewa betumi anya cholera?,transmission_query,"Aane, mmofra ketewa betumi anya cholera yareɛ no, na wɔn ho nsuo sa ntɛm kyɛn mpanyimfoɔ. Wɔn ho nsenkyerɛne ne ayamtuo, ɛfeɛ ne mmerɛyɛ.","Can a small child get cholera? Yes, small children can contract cholera, and they become dehydrated much faster than adults. Their symptoms include diarrhea, vomiting, and weakness.",CDC Ghana
"Me nsuo no mu tew, ɛho hia sɛ me noa?",prevention_query,"Aane, ɛho hia paa. Nsuo pii wɔ hɔ a ɛmu tew nanso mmoawa nkɛseɛ gu mu. Noa no ma ɛrehuru yie ansa na woanom.","My water looks clean, do I still need to boil it? Yes, it is very important. Many water sources look clear but contain dangerous bacteria. Boil it until it bubbles before drinking.",Ghana Ministry of Health
"Sɛ me nyan ORS no na meba no anom amonom a, mɛyɛ dɛn?",treatment_query,"Ma no n nketewa nketee ara daa. Sɛ ɔfe na anom bio a, twɛn simma du na fi ase ma no bio nkakrakakra.","If I mix the ORS and my child vomits it, what should I do? Give it in small sips frequently. If they vomit again, wait ten minutes and start giving it again slowly.",WHO Ghana
Adɔkotanom ma aduru a yɛfrɛ no zinc tablets?,treatment_query,"Aane, adɔkotafoɔ taa de zinc tablets fra ORS ho ma mmofra a wɔwɔ ayamtuo de boa ma wɔn ho yɛ ntɛm.","Do doctors give a medicine called zinc tablets? Yes, doctors often combine zinc tablets with ORS for children with diarrhea to help them recover faster.",Ghana Health Service
Aduane a akyɛ betumi de cholera mmoawa aba?,transmission_query,"Aane, aduane a akyɛ na yɛankata so na mfifiseɛ bɔɔ ho betumi anya cholera mmoawa no. Kankan aduane biara ansa na woadi.","Can leftover food bring cholera bacteria? Yes, leftover food that was not covered and was visited by flies can harbor cholera bacteria. Always reheat any food before eating.",CDC Ghana
Nnipa a wɔwɔ Ghana ha taa nya cholera yareɛ yi?,general_greeting,"Cholera taa ba mmeae a asuogya gu fĩ guom na nsuo pa nni hɔ, titiriw asuten bere mu. Ghana Health Service repɛ ano aduru daa.","Do people in Ghana often get this cholera disease? Cholera usually occurs in places with poor sanitation and lack of safe water, especially during the rainy season. The Ghana Health Service is always working on solutions.",Ghana Health Service
Ɛhefa na me nya nsuo pa a cholera mmoawa nnim?,prevention_query,"Nsa sachet water pa, bottled water, anaa nsuo biara a woanoa mu yie na ɛyɛ asiane nnim.","Where can I get safe water without cholera bacteria? Treated sachet water, bottled water, or any water you have boiled thoroughly is safe and risk-free.",Ghana NLP
Dɛn nti na yɛfrɛ ayamtuo no rice-water?,symptoms_query,Yɛfrɛ no saa ɛfiri sɛ cholera ayamtuo no nsuo no mu yɛ fitaa guwɔɔ sɛ nsuo a yɛde ahoro mroseɛ mu. Eyi kyerɛ sɛ yareɛ no mu yɛ den.,Why do they call the diarrhea rice-water? It is called that because cholera diarrhea fluid is whitish and cloudy like water used to wash raw rice. This indicates the disease is severe.,WHO Ghana
"Me ho yɛ mmerɛ na me ti pae me, ɛyɛ cholera?",symptoms_query,"Mmerɛyɛ betumi ayɛ cholera nsenkyerɛne ɛfiri nsuo a ɛreasa nti, nanso tipae ntaa nni cholera ho. Hwɛ sɛ wo bɛnya ayamtuo nsuo anaa.","I feel weak and my head aches, is it cholera? Weakness can be a cholera symptom due to fluid loss, but headache is not typically associated with cholera. Watch if you get watery diarrhea.",CDC
"Chatbot, wo ho te sɛn?",general_greeting,"Me ho yɛ, meda ase! Mewɔ ha sɛ mebua wo nsɛmmisa biara a ɛfa cholera ho wɔ Twi mu. Dɛn na wopɛ sɛ wuhu?","I am fine, thank you! I am here to answer any questions about cholera in Twi. What do you want to know?",Ghana NLP
Meda wo ase paa ma saa adwuma yi,general_greeting,Meda wo ase nso! Ɛyɛ me anigye sɛ meboa wo. Hwɛ wo ho so yie afiri cholera ho.,Thank you very much for this work. Thank you too! It is my pleasure to help you. Take good care of yourself against cholera.,Ghana NLP
"Ebia me nom nsuo firi nkuraa ase abutuo mu, ɛyɛ asiane?",transmission_query,"Aane, abutuo pii a ɛwɔ nkuraa ase a yɛankata so betumi anya efi afiri atwene mu na ɛde cholera mmoawa aba. Noa ansa na wanom.","Maybe I drink water from rural wells, is it dangerous? Yes, many uncovered rural wells can get contaminated from runoff water and bring cholera bacteria. Boil it before drinking.",CDC Ghana
"Ayamtuo no amfi ase ntɛm ara, ɛtumi kora ho?",symptoms_query,"Aane, cholera mmoawa betumi atena wo ho nnansa mmienu kɔsi nnanson ansa na nsenkyerɛne ada adi. Ɛho hia sɛ yɛhwɛ yie.","The diarrhea didn't start immediately, can it hide? Yes, cholera bacteria can stay in your body for 2 to 7 days before symptoms appear. It is important to be careful.",WHO Ghana
Nnuane a yɛtɔ wɔ kwan ho betumi de yareɛ no aba?,transmission_query,"Aane, nnuane a wɔtɔn no kwan ho a yɛankata so na ɛyɛ nwunu betumi anya cholera mmoawa afiri mfifiseɛ hɔ. Di aduane a ɛyɛ hyere paa.","Can food sold on the street bring the disease? Yes, food sold by the roadside that is uncovered and cold can get cholera bacteria from flies. Eat very hot food.",Ghana Ministry of Health
"Sɛ mepae ORS paket no, metumi de atena hɔ nna pii?",treatment_query,"Dabi, sɛ wo de nsuo fra ORS aduru mu a, ɛwɔ sɛ wonom gu mu nnɔnhwerew 24 mu. Ɛno akyi no, to gu na yɛ foforo.","If I open the ORS packet, can it stay for many days? No, once you mix the ORS powder with water, it must be consumed within 24 hours. After that, discard it and make a fresh one.",WHO Ghana
Sɛ mepɛ sɛ mehohoro me nsa na samina nni hɔ nso?,prevention_query,"Sɛ samina nni hɔ a, wobetumi de nsofa (ashes) ne nsuo pa a ɛretew ahoro wo nsa. Ɛno nso kum mmoawa bi.","What if I want to wash my hands and there is no soap? If there is no soap, you can use wood ash and clean running water to wash your hands. That also kills some bacteria.",CDC Ghana
Dɛn aduru na metumi de akyekyere me fie ansa na adɔkotafoɔ aba?,treatment_query,Aduru kɛseɛ a ɛwɔ hɔ ne ORS nsuo. Ɛnkora aduru biara a ɛsiw ayamtuo kwan (anti-diarrhea meds) efisɛ ɛremma yareɛ no mfi wo mu.,What medicine can I use to treat my family before doctors arrive? The main medicine is ORS water. Do not keep anti-diarrhea medicines because they prevent the disease from leaving your system.,WHO Ghana
Ayaresabea biara wɔ ha betumi asa cholera?,emergency_query,"Aane, Ghana Health Service abɔ mbɔden sɛ clinic ne ayaresabea ahorow nyinaa wɔ ORS ne nsuo a yɛde bɔ ntin mu (IV fluids) ma yarefoɔ.","Can any hospital here treat cholera? Yes, the Ghana Health Service has made efforts so that all clinics and hospitals have ORS and intravenous fluids (IV fluids) for patients.",Ghana Health Service
Ete sɛn nua?,general_greeting,"Ɛyɛ, akwaaba! Me ne wo Cholera Twi Chatbot. Metumi abua wo nsɛmmisa biara.","It is well, welcome! I am your Cholera Twi Chatbot. I can answer any of your questions.",Ghana NLP
Wo din de sɛn?,general_greeting,Me din de Cholera Twi Chatbot. Wobia me biribiara a ɛfa cholera ho a mɛbua wo.,What is your name? My name is Cholera Twi Chatbot. Ask me anything about cholera and I will answer you.,Ghana NLP
"Yarefoɔ no abrabɔ mu refi ntɛm, yɛbɛyɛ dɛn?",emergency_query,EYI NE EMERGENCY KƐSE! Monsɔre mprepren kɔ ayaresabea. Mma no nsuo wɔ ne ntin nkanyan no.,"The patient's life is fading fast, what should we do? THIS IS A HUGE EMERGENCY! Rise up immediately and go to the hospital. Let them give him IV fluids to revive him.",WHO Ghana
Me nsa ho bɛtumi afi sɛ mekɔ asuogya akyi?,prevention_query,"Aane, nsa ho horo ne samina ntɛm ara bere biara a wobɛfi asuogya (toilet) no hia paa na woansa cholera mmoawa ankyere afoforo.","Can my hands get contaminated after using the toilet? Yes, washing hands with soap immediately every time you leave the toilet is very important so you don't spread cholera bacteria to others.",CDC Ghana
Nsuo pa ben na ɛwɔ sɛ yɛnom?,prevention_query,"Nom nsuo a wɔanoa, pure water a ɛfiri beae pa, anaa bottled water. Kora wo nsuo ho ban.","Which safe water should we drink? Drink boiled water, sachet water from a trusted source, or bottled water. Protect your water source.",Ghana Ministry of Health
Ayamtuo yi beku me ba no?,emergency_query,"Sɛ woanma no ORS aduru ntɛm na woanfa no nkɔ ayaresabea a, aane, ɛbetumi akum no. Hwɛ wo ho so ntɛm ara!","Will this diarrhea kill my child? If you don't give them ORS medicine quickly and take them to the hospital, yes, it can kill them. Take action immediately!",CDC Ghana
Kwan bɛn so na me nnuane bɛtumi anya mmoawa?,transmission_query,"Sɛ woankata so na mfifiseɛ a wogyinaa efi so bɛsi so, anaa sɛ wo de nsa a ho nni fĩ horo mu.","How can my food get bacteria? If you don't cover it and flies that stood on waste land on it, or if you use unwashed hands to handle it.",WHO Ghana
Mo adwuma yi yɛ fɛ paa,general_greeting,Meda wo ase! Yɛpɛ sɛ ɔmanfoɔ nya apɔwmuden na yɛtu cholera afiri Ghana ha.,Your work is very beautiful. Thank you! We want the public to have good health and eradicate cholera from Ghana.,Ghana NLP
Sa me yareɛ yi ma me,treatment_query,Mente sɛ dɔkota nanso metumi akyerɛ wo kwan: Nom ORS nsuo pii seesei na kɔ clinic a ɛbɛn wo ntɛm ara.,Cure this sickness for me. I am not a doctor but I can guide you: Drink plenty of ORS water right now and go to the nearest clinic immediately.,Ghana Health Service
Yɛbɛtumi anya cholera afiri subɔnten mu nsuo mu?,transmission_query,"Aane paa, sɛ nkurɔfoɔ gu fi gu asubɔnten no ho a, cholera mmoawa bɛkɔ nsuo no mu na ɛde yareɛ bɛba sɛ nnipa nom a.","Can we get cholera from river water? Yes indeed, if people defecate near the river, cholera bacteria will enter the water and cause disease if people drink it.",Ghana Ministry of Health
"Me ho retiti me na meyam hye me, ɛyɛ cholera?",symptoms_query,"Dabi, nipadua retiti ne yam hyehyeɛ ntaa nkyerɛ cholera. Cholera nsenkyerɛne titiriw ne ayamtuo a ɛte sɛ nsubɛn.","My body is itching and my stomach burns, is it cholera? No, body itching and stomach burning do not usually indicate cholera. The main symptom of cholera is watery diarrhea.",CDC
"Chatbot, boa me!",general_greeting,"Aane, mekrado sɛ mɛboa wo. Dɛn na ereha wo wɔ cholera ho? Bisa me na mebua wo.","Chatbot, help me! Yes, I am ready to help you. What is bothering you about cholera? Ask me and I will answer you.",Ghana NLP
Enti cholera nsenkyerɛne betumi ayɛ yaw wɔ yam?,symptoms_query,"Ebia ayamtim ketewa bi betumi aba, nanso cholera ayamtuo kɛseɛ no ntaa mfa ayamkaw kɛseɛ biara nnim kyɛn mmerɛyɛ ne nsuo a ɛsa.","So can cholera symptoms include stomach pain? Mild abdominal cramps can occur, but severe cholera diarrhea usually doesn't involve major stomach pain besides weakness and fluid loss.",WHO Ghana
Bɔ me amanneɛ fa cholera ho,general_greeting,"Cholera yɛ yareɔ bɔne a ɛfa ayamtuo kɛseɔ mu. Wo betumi abisa me ho nsenkyerɛne, banbɔ, anaa ayaresa ho nsɛm.","Inform me about cholera. Cholera is a dangerous disease involving severe diarrhea. You can ask me about its symptoms, prevention, or treatment.",Ghana NLP
Sɛ mefe dɔɔso a dɛn na mɛyɛ?,treatment_query,"Sɛ wo refe a, mmpa abaw. Kɔ so nom ORS nsuo no nkakrakakra. Sɛ ɛnto mpa a, kɔ ayaresabea mprepren.","If I vomit too much what should I do? If you are vomiting, do not lose hope. Keep drinking the ORS water in small sips. If it doesn't stop, go to the hospital immediately.",CDC
