twi_query,intent,twi_response,english_translation,source
yAamtuo ne afeɛ kyerɛ sɛ mewɔ cholera?,symptoms_query,"Aane, ayamtuo kɛseɛ a ɛte sɛ nsubɛn nsuo ne afeɛ a ɛnto mpa yɛ cholera nsenkyerɛne titiriw.","Yes, severe diarrhea that looks like rice-water and frequent vomiting are primary symptoms of cholera.",Ghana Ministry of Health
Ayamtuo ne afeɛ kyerɛ sɛ mewɔ cholera ampa?,symptoms_query,"Aane, ayamtuo kɛseɛ a ɛte sɛ nsubɛn nsuo ne afeɛ a ɛnto mpa yɛ cholera nsenkyerɛne titiriw.","Yes, severe diarrhea that looks like rice-water and frequent vomiting are primary symptoms of cholera.",Ghana Ministry of Health
"M'anofafa awo na merefe, ɛyɛ cholera?",symptoms_query,"Eyi betumi ayɛ cholera nsenkyerɛne, efisɛ anofafa a awo kyerɛ sɛ wo ho nsuo reasa afiri ayamtuo ne afeɛ no mu. Ma yarefoɔ no ORS ntɛm.","This can be a symptom of cholera, as a dry mouth indicates dehydration from diarrhea and vomiting. Give the patient ORS immediately.",WHO Ghana
"M'anofafa awo na merefe, ɛyɛ cholera wo nim?",symptoms_query,"Eyi betumi ayɛ cholera nsenkyerɛne, efisɛ anofafa a awo kyerɛ sɛ wo ho nsuo reasa afiri ayamtuo ne afeɛ no mu. Ma yarefoɔ no ORS ntɛm.","This can be a symptom of cholera, as a dry mouth indicates dehydration from diarrhea and vomiting. Give the patient ORS immediately.",WHO Ghana
"M'anofafa awo na merefe, ɛyɛ cholrea?",symptoms_query,"Eyi betumi ayɛ cholera nsenkyerɛne, efisɛ anofafa a awo kyerɛ sɛ wo ho nsuo reasa afiri ayamtuo ne afeɛ no mu. Ma yarefoɔ no ORS ntɛm.","This can be a symptom of cholera, as a dry mouth indicates dehydration from diarrhea and vomiting. Give the patient ORS immediately.",WHO Ghana
"M'anofafa awo na merefe, eye cholera?",symptoms_query,"Eyi betumi ayɛ cholera nsenkyerɛne, efisɛ anofafa a awo kyerɛ sɛ wo ho nsuo reasa afiri ayamtuo ne afeɛ no mu. Ma yarefoɔ no ORS ntɛm.","This can be a symptom of cholera, as a dry mouth indicates dehydration from diarrhea and vomiting. Give the patient ORS immediately.",WHO Ghana
Yɛnya cholera a dɛn nsenkyerɛne na ɛda adi?,symptoms_query,"Nsenkyerɛne titiriw ne ayamtuo pii, afeɛ bebree, nipadua no mu mmerɛyɛ, ne nsuo a ɛsa wo ho ntɛm ara.","The key symptoms are severe diarrhea, frequent vomiting, body weakness, and rapid loss of fluids (dehydration).",CDC
Yɛnya cholera a dɛn nsenkyerɛne na ɛda adi anaa?,symptoms_query,"Nsenkyerɛne titiriw ne ayamtuo pii, afeɛ bebree, nipadua no mu mmerɛyɛ, ne nsuo a ɛsa wo ho ntɛm ara.","The key symptoms are severe diarrhea, frequent vomiting, body weakness, and rapid loss of fluids (dehydration).",CDC
Yenya cholera a den nsenkyerene na eda adi?,symptoms_query,"Nsenkyerɛne titiriw ne ayamtuo pii, afeɛ bebree, nipadua no mu mmerɛyɛ, ne nsuo a ɛsa wo ho ntɛm ara.","The key symptoms are severe diarrhea, frequent vomiting, body weakness, and rapid loss of fluids (dehydration).",CDC
Yɛnya hcolera a dɛn nsenkyerɛne na ɛda adi?,symptoms_query,"Nsenkyerɛne titiriw ne ayamtuo pii, afeɛ bebree, nipadua no mu mmerɛyɛ, ne nsuo a ɛsa wo ho ntɛm ara.","The key symptoms are severe diarrhea, frequent vomiting, body weakness, and rapid loss of fluids (dehydration).",CDC
Ayamtuo a ɛte sɛ nsubɛn nsuo yɛ cholera?,symptoms_query,"Aane, ayamtuo a ɛte sɛ nsubɛn nsuo (rice-water stools) ne cholera nsenkyerɛne kɛseɛ a ɛda adi paa.","Yes, watery diarrhea resembling rice-water is the classic and most definitive symptom of cholera.",Ghana Ministry of Health
Ayamtuo a ete se nsuben nsuo ye cholera?,symptoms_query,"Aane, ayamtuo a ɛte sɛ nsubɛn nsuo (rice-water stools) ne cholera nsenkyerɛne kɛseɛ a ɛda adi paa.","Yes, watery diarrhea resembling rice-water is the classic and most definitive symptom of cholera.",Ghana Ministry of Health
Ayamtuo a ɛte sɛ nsubɛn nsuo yɛ cholera anaa?,symptoms_query,"Aane, ayamtuo a ɛte sɛ nsubɛn nsuo (rice-water stools) ne cholera nsenkyerɛne kɛseɛ a ɛda adi paa.","Yes, watery diarrhea resembling rice-water is the classic and most definitive symptom of cholera.",Ghana Ministry of Health
Aaymtuo a ɛte sɛ nsubɛn nsuo yɛ cholera?,symptoms_query,"Aane, ayamtuo a ɛte sɛ nsubɛn nsuo (rice-water stools) ne cholera nsenkyerɛne kɛseɛ a ɛda adi paa.","Yes, watery diarrhea resembling rice-water is the classic and most definitive symptom of cholera.",Ghana Ministry of Health
Sɛn na cholera yareɛ yi kɔ obi ho?,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Sɛn na cholera yareɛ yi kɔ obi ho ampa?,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Sen na cholera yaree yi ko obi ho?,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Sɛn na cholrea yareɛ yi kɔ obi ho?,transmission_query,Cholera tare ntɛm ara nam nsuo anaa aduane a cholera bacteria firi obi bin mu akɔwura mu.,Cholera spreads rapidly through drinking water or eating food contaminated with the cholera bacteria from feces.,WHO Ghana
Cholera firi he na ɛba?,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Cohlera firi he na ɛba?,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Cholera firi he na ɛba ampa?,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Cholera firi he na eba?,transmission_query,"Cholera mmoawa no firi aduane anaa nsuo a efi guom na afra, paa ayaresabea bin anaa efi a mfifiseɛ akɔdi so.",The cholera bacteria comes from food or water contaminated with human sewage or waste carried by flies.,CDC
Aduane anaa nsuo de cholera ba?,transmission_query,"Aane, nsuo a ɛfi ne aduane a yɛankata so yie na mfifiseɛ dii so de cholera mmoawa gu mu na ɛde yareɛ no ba.","Yes, contaminated water and uncovered food where flies have landed are the main carriers of cholera.",Ghana Ministry of Health
Aduane anaa nsuo de cholera ba anaa ɛnyɛ saa?,transmission_query,"Aane, nsuo a ɛfi ne aduane a yɛankata so yie na mfifiseɛ dii so de cholera mmoawa gu mu na ɛde yareɛ no ba.","Yes, contaminated water and uncovered food where flies have landed are the main carriers of cholera.",Ghana Ministry of Health
Aduane anaa nsuo de hcolera ba?,transmission_query,"Aane, nsuo a ɛfi ne aduane a yɛankata so yie na mfifiseɛ dii so de cholera mmoawa gu mu na ɛde yareɛ no ba.","Yes, contaminated water and uncovered food where flies have landed are the main carriers of cholera.",Ghana Ministry of Health
Nfifiseɛ betumi de cholera aba?,transmission_query,"Aane, nfifiseɛ betumi de efi afiri asuogya akɔgu yɛn aduane so na eyi betumi ama yɛanya cholera yareɛ.","Yes, flies can carry contamination from toilets to our food, which can cause cholera.",WHO
Nfifiseɛ betumi de cholera aba ampa?,transmission_query,"Aane, nfifiseɛ betumi de efi afiri asuogya akɔgu yɛn aduane so na eyi betumi ama yɛanya cholera yareɛ.","Yes, flies can carry contamination from toilets to our food, which can cause cholera.",WHO
Nfifiseɛ betumi de chloera aba?,transmission_query,"Aane, nfifiseɛ betumi de efi afiri asuogya akɔgu yɛn aduane so na eyi betumi ama yɛanya cholera yareɛ.","Yes, flies can carry contamination from toilets to our food, which can cause cholera.",WHO
Nfifisee betumi de cholera aba?,transmission_query,"Aane, nfifiseɛ betumi de efi afiri asuogya akɔgu yɛn aduane so na eyi betumi ama yɛanya cholera yareɛ.","Yes, flies can carry contamination from toilets to our food, which can cause cholera.",WHO
Sɛn na cholera tare obi?,transmission_query,"Sɛ wo ne obi a ɔwɔ cholera bom di aduane a wankata so, anaa sɛ wonom nsuo a efi firi dɔteɛ mu a, wobɛtumi anya cholera.","If you eat contaminated food or drink dirty water, you can contract cholera.",CDC
Sɛn na cholera tare obi paa?,transmission_query,"Sɛ wo ne obi a ɔwɔ cholera bom di aduane a wankata so, anaa sɛ wonom nsuo a efi firi dɔteɛ mu a, wobɛtumi anya cholera.","If you eat contaminated food or drink dirty water, you can contract cholera.",CDC
Sɛn na cohlera tare obi?,transmission_query,"Sɛ wo ne obi a ɔwɔ cholera bom di aduane a wankata so, anaa sɛ wonom nsuo a efi firi dɔteɛ mu a, wobɛtumi anya cholera.","If you eat contaminated food or drink dirty water, you can contract cholera.",CDC
Sen na cholera tare obi?,transmission_query,"Sɛ wo ne obi a ɔwɔ cholera bom di aduane a wankata so, anaa sɛ wonom nsuo a efi firi dɔteɛ mu a, wobɛtumi anya cholera.","If you eat contaminated food or drink dirty water, you can contract cholera.",CDC
Ɛfiri he na cholera mmoawa no firi ba?,transmission_query,"Cholera mmoawa no firi yarefoɔ bin mu. Sɛ nsuo anaa aduane anya efi yi a, ɛno na ɛde cholera ba.","The cholera bacteria originates from an infected person's feces, spreading through contaminated water or food.",Ghana Ministry of Health
fƐiri he na cholera mmoawa no firi ba?,transmission_query,"Cholera mmoawa no firi yarefoɔ bin mu. Sɛ nsuo anaa aduane anya efi yi a, ɛno na ɛde cholera ba.","The cholera bacteria originates from an infected person's feces, spreading through contaminated water or food.",Ghana Ministry of Health
Ɛfiri he na cholera mmoawa no firi ba paa?,transmission_query,"Cholera mmoawa no firi yarefoɔ bin mu. Sɛ nsuo anaa aduane anya efi yi a, ɛno na ɛde cholera ba.","The cholera bacteria originates from an infected person's feces, spreading through contaminated water or food.",Ghana Ministry of Health
Efiri he na cholera mmoawa no firi ba?,transmission_query,"Cholera mmoawa no firi yarefoɔ bin mu. Sɛ nsuo anaa aduane anya efi yi a, ɛno na ɛde cholera ba.","The cholera bacteria originates from an infected person's feces, spreading through contaminated water or food.",Ghana Ministry of Health
Sɛn na mɛbɔ me ho ban afiri cholera ho?,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Sen na mebo me ho ban afiri cholera ho?,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Sɛn na mɛbɔ me ho ban afiri cholera ho anaa ɛnyɛ saa?,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Sɛn na mɛbɔ me ho ban aifri cholera ho?,prevention_query,"Hohoro wo nsa ne samina ne nsuo pa bere biara, nua wo nsuo ansa na woanom, na kata wo nnuane so yie.","Wash your hands with soap and safe water, boil your drinking water, and always cover your food.",WHO Ghana
Dɛn na yɛbɛyɛ na yɛanya cholera?,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Dɛn na yɛbɛyɛ na yɛanya cholera paa?,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Den na yebeye na yeanya cholera?,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Dɛn na yɛbɛyɛ na yɛanya hcolera?,prevention_query,"Na yɛbɛyɛ ne sɛ: Hohoro wo nsa ne samina bere biara, di aduane a ɛyɛ hyere na nua wo nsuo ansa na woanom.","To avoid cholera: wash your hands with soap, eat hot cooked food, and boil your water before drinking.",CDC
Mɛyɛ deɛn na me fiefoɔ anya cholera?,prevention_query,"Siesie wo mpɔtam hɔ yie, hohoro wo nsa mprepren, na mma obiara nnnom nsuo a yɛannua mu anaa yɛantam mu yie.","Keep your surroundings clean, wash hands frequently, and ensure everyone drinks boiled or treated water.",Ghana Ministry of Health
Mɛyɛ deɛn na me fiefoɔ anya cholera wo nim?,prevention_query,"Siesie wo mpɔtam hɔ yie, hohoro wo nsa mprepren, na mma obiara nnnom nsuo a yɛannua mu anaa yɛantam mu yie.","Keep your surroundings clean, wash hands frequently, and ensure everyone drinks boiled or treated water.",Ghana Ministry of Health
Meye deen na me fiefoo anya cholera?,prevention_query,"Siesie wo mpɔtam hɔ yie, hohoro wo nsa mprepren, na mma obiara nnnom nsuo a yɛannua mu anaa yɛantam mu yie.","Keep your surroundings clean, wash hands frequently, and ensure everyone drinks boiled or treated water.",Ghana Ministry of Health
Mɛyɛ deɛn na me fiefoɔ anya cholrea?,prevention_query,"Siesie wo mpɔtam hɔ yie, hohoro wo nsa mprepren, na mma obiara nnnom nsuo a yɛannua mu anaa yɛantam mu yie.","Keep your surroundings clean, wash hands frequently, and ensure everyone drinks boiled or treated water.",Ghana Ministry of Health
Sɛn na yɛde samina bɔ yɛn ho ban?,prevention_query,"Samina ne nsuo pa de hohoro nsa firii asuogya, ansa na yɛadi aduane anaa yɛayɛ aduane, ɛkum cholera mmoawa no.",Washing hands with soap and running water after the toilet and before preparing/eating food kills the cholera bacteria.,WHO
Sɛn na yɛde asmina bɔ yɛn ho ban?,prevention_query,"Samina ne nsuo pa de hohoro nsa firii asuogya, ansa na yɛadi aduane anaa yɛayɛ aduane, ɛkum cholera mmoawa no.",Washing hands with soap and running water after the toilet and before preparing/eating food kills the cholera bacteria.,WHO
Sen na yede samina bo yen ho ban?,prevention_query,"Samina ne nsuo pa de hohoro nsa firii asuogya, ansa na yɛadi aduane anaa yɛayɛ aduane, ɛkum cholera mmoawa no.",Washing hands with soap and running water after the toilet and before preparing/eating food kills the cholera bacteria.,WHO
Sɛn na yɛde samina bɔ yɛn ho ban anaa?,prevention_query,"Samina ne nsuo pa de hohoro nsa firii asuogya, ansa na yɛadi aduane anaa yɛayɛ aduane, ɛkum cholera mmoawa no.",Washing hands with soap and running water after the toilet and before preparing/eating food kills the cholera bacteria.,WHO
Nsuo pa a yɛbɛnom bɛma yɛanya cholera?,prevention_query,Nsuo pa a wɔanoa mu anaa pure water/bottled water pa siw cholera kwan paa. Nnom nsuo firi asubɔnten mu anaa abutuo mu.,"Drinking boiled water, bottled water, or treated sachet water prevents cholera. Avoid drinking directly from rivers or wells.",CDC
Nsuo pa a yɛbɛnom bɛma yɛanya cholear?,prevention_query,Nsuo pa a wɔanoa mu anaa pure water/bottled water pa siw cholera kwan paa. Nnom nsuo firi asubɔnten mu anaa abutuo mu.,"Drinking boiled water, bottled water, or treated sachet water prevents cholera. Avoid drinking directly from rivers or wells.",CDC
Nsuo pa a yebenom bema yeanya cholera?,prevention_query,Nsuo pa a wɔanoa mu anaa pure water/bottled water pa siw cholera kwan paa. Nnom nsuo firi asubɔnten mu anaa abutuo mu.,"Drinking boiled water, bottled water, or treated sachet water prevents cholera. Avoid drinking directly from rivers or wells.",CDC
Nsuo pa a yɛbɛnom bɛma yɛanya cholera ɛnte saa?,prevention_query,Nsuo pa a wɔanoa mu anaa pure water/bottled water pa siw cholera kwan paa. Nnom nsuo firi asubɔnten mu anaa abutuo mu.,"Drinking boiled water, bottled water, or treated sachet water prevents cholera. Avoid drinking directly from rivers or wells.",CDC
Nsa hohoro bɛtumi asiw cholera kwan?,prevention_query,"Aane, nsa hohoro ne samina gu nsuo pa mu siw cholera kwan bɛyɛ ɔha biara mu aduonum (50%).","Yes, washing hands with soap and running water is one of the most effective ways to prevent cholera transmission.",Ghana Ministry of Health
Nsa hohoro betumi asiw cholera kwan?,prevention_query,"Aane, nsa hohoro ne samina gu nsuo pa mu siw cholera kwan bɛyɛ ɔha biara mu aduonum (50%).","Yes, washing hands with soap and running water is one of the most effective ways to prevent cholera transmission.",Ghana Ministry of Health
Nsa hohoro bɛtumi asiw cholera kwan ɛnte saa?,prevention_query,"Aane, nsa hohoro ne samina gu nsuo pa mu siw cholera kwan bɛyɛ ɔha biara mu aduonum (50%).","Yes, washing hands with soap and running water is one of the most effective ways to prevent cholera transmission.",Ghana Ministry of Health
Nsa hohoro bɛtumi asiw cholrea kwan?,prevention_query,"Aane, nsa hohoro ne samina gu nsuo pa mu siw cholera kwan bɛyɛ ɔha biara mu aduonum (50%).","Yes, washing hands with soap and running water is one of the most effective ways to prevent cholera transmission.",Ghana Ministry of Health
Dɛn na yɛde sa cholera?,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Den na yede sa cholera?,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Dɛn na yɛde sa hcolera?,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Dɛn na yɛde sa cholera ampa?,treatment_query,"Yɛde ORS (Oral Rehydration Salts) nsuo na ɛsa cholera ntɛm ara na nsuo ansɛe wo ho. Sɛ emu yɛ den a, kɔ ayaresabea ntɛm.","Cholera is treated immediately with ORS (Oral Rehydration Salts) to restore fluids. If severe, go to the hospital immediately.",WHO Ghana
Sɛn na yɛyɛ ORS wo fie?,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
Sen na yeye ORS wo fie?,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
Sɛn na yɛyɛ ORS wo fie wo nim?,treatment_query,"Fa lita baako nsuo pa, asikre nsa-mmerɛ nsia (6 teaspoons), ne nkyene nsa-mmerɛ fa (1/2 teaspoon) na fra bom yie ma ɔnom.","Mix 1 liter of clean water, 6 teaspoons of sugar, and 1/2 teaspoon of salt to make Home-made Rehydration Solution.",CDC
ORS nsuo yɛ sɛn?,treatment_query,ORS yɛ aduru nsuo a wɔaka nkyene ne asikre afra mu a ɛboa ma nipadua no nsuo a ayera no san ba.,ORS is a solution of balanced salts and glucose that helps restore lost bodily fluids and electrolytes.,Ghana Ministry of Health
ORS nsuo yɛ sɛn ampa?,treatment_query,ORS yɛ aduru nsuo a wɔaka nkyene ne asikre afra mu a ɛboa ma nipadua no nsuo a ayera no san ba.,ORS is a solution of balanced salts and glucose that helps restore lost bodily fluids and electrolytes.,Ghana Ministry of Health
ORS nsuo ye sen?,treatment_query,ORS yɛ aduru nsuo a wɔaka nkyene ne asikre afra mu a ɛboa ma nipadua no nsuo a ayera no san ba.,ORS is a solution of balanced salts and glucose that helps restore lost bodily fluids and electrolytes.,Ghana Ministry of Health
Aduru bɛn na adɔkotafoɔ de sa cholera?,treatment_query,"Adɔkotafoɔ de ORS, ne nsuo wɔ ntin (IV fluids) ne antibiotic aduru na ɛsa cholera yareɛ no yie.","Doctors use ORS, IV fluids for severe cases, and antibiotics to treat cholera effectively.",WHO
dAuru bɛn na adɔkotafoɔ de sa cholera?,treatment_query,"Adɔkotafoɔ de ORS, ne nsuo wɔ ntin (IV fluids) ne antibiotic aduru na ɛsa cholera yareɛ no yie.","Doctors use ORS, IV fluids for severe cases, and antibiotics to treat cholera effectively.",WHO
Aduru ben na adokotafoo de sa cholera?,treatment_query,"Adɔkotafoɔ de ORS, ne nsuo wɔ ntin (IV fluids) ne antibiotic aduru na ɛsa cholera yareɛ no yie.","Doctors use ORS, IV fluids for severe cases, and antibiotics to treat cholera effectively.",WHO
Aduru bɛn na adɔkotafoɔ de sa cholera paa?,treatment_query,"Adɔkotafoɔ de ORS, ne nsuo wɔ ntin (IV fluids) ne antibiotic aduru na ɛsa cholera yareɛ no yie.","Doctors use ORS, IV fluids for severe cases, and antibiotics to treat cholera effectively.",WHO
Asikre ne nkyene nsuo yɛ ORS?,treatment_query,"Aane, sɛ wo nni ORS paket a, wo betumi ayɛ fie ORS nam asikre kɛse ne nkyene ketewa a wobɛfra nsuo pa baako lita mu.","Yes, if you don't have an ORS packet, you can make Home-made ORS by mixing sugar and salt in 1 liter of clean water.",CDC
Asikre ne nkeyne nsuo yɛ ORS?,treatment_query,"Aane, sɛ wo nni ORS paket a, wo betumi ayɛ fie ORS nam asikre kɛse ne nkyene ketewa a wobɛfra nsuo pa baako lita mu.","Yes, if you don't have an ORS packet, you can make Home-made ORS by mixing sugar and salt in 1 liter of clean water.",CDC
Asikre ne nkyene nsuo yɛ ORS anaa?,treatment_query,"Aane, sɛ wo nni ORS paket a, wo betumi ayɛ fie ORS nam asikre kɛse ne nkyene ketewa a wobɛfra nsuo pa baako lita mu.","Yes, if you don't have an ORS packet, you can make Home-made ORS by mixing sugar and salt in 1 liter of clean water.",CDC
Asikre ne nkyene nsuo ye ORS?,treatment_query,"Aane, sɛ wo nni ORS paket a, wo betumi ayɛ fie ORS nam asikre kɛse ne nkyene ketewa a wobɛfra nsuo pa baako lita mu.","Yes, if you don't have an ORS packet, you can make Home-made ORS by mixing sugar and salt in 1 liter of clean water.",CDC
Sɛn na yɛbɛyɛ na yɛayɛ ORS nsuo pa?,treatment_query,"Hohoro wo nsa, fa nsuo pa, nua wo nsuo no ansa na woadi dwuma na fra ORS aduru no mu yie.","Wash hands, use safe water (boiled or bottled), and thoroughly mix the ORS powder into the water.",Ghana Ministry of Health
Sɛn na yɛbɛyɛ na yɛayɛ ORS nsuo pa anaa ɛnyɛ saa?,treatment_query,"Hohoro wo nsa, fa nsuo pa, nua wo nsuo no ansa na woadi dwuma na fra ORS aduru no mu yie.","Wash hands, use safe water (boiled or bottled), and thoroughly mix the ORS powder into the water.",Ghana Ministry of Health
Sen na yebeye na yeaye ORS nsuo pa?,treatment_query,"Hohoro wo nsa, fa nsuo pa, nua wo nsuo no ansa na woadi dwuma na fra ORS aduru no mu yie.","Wash hands, use safe water (boiled or bottled), and thoroughly mix the ORS powder into the water.",Ghana Ministry of Health
